ID,sex,age,region,politica,region_custom,age_gen,z1,z2
0,Masculino,27,Biobío,2,Region,Millennial,0.57210815,0.215063
1,Masculino,43,Metropolitana de Santiago,6,Capital City,Generation X,0.6333347,0.26499948
2,Femenino,39,Metropolitana de Santiago,3,Capital City,Generation X,0.49994475,0.46251544
3,Masculino,34,Metropolitana de Santiago,6,Capital City,Millennial,0.15229653,0.38233054
5,Femenino,37,Metropolitana de Santiago,0,Capital City,Millennial,0.28838518,0.26982042
6,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.71910655,0.29132003
7,Masculino,27,Metropolitana de Santiago,2,Capital City,Millennial,0.26469383,0.42390978
8,Masculino,30,Metropolitana de Santiago,7,Capital City,Millennial,0.77009034,0.4293614
9,Masculino,38,Metropolitana de Santiago,9,Capital City,Millennial,0.83591944,0.23685244
10,Femenino,35,Metropolitana de Santiago,7,Capital City,Millennial,0.87362605,0.41106522
11,Femenino,24,Metropolitana de Santiago,3,Capital City,Generation Z,0.34961438,0.32192785
12,Masculino,30,Metropolitana de Santiago,3,Capital City,Millennial,0.3144279,0.28055927
13,Masculino,29,Metropolitana de Santiago,1,Capital City,Millennial,0.30865803,0.3192054
14,Masculino,33,Metropolitana de Santiago,4,Capital City,Millennial,0.570135,0.37717766
15,Masculino,24,Metropolitana de Santiago,6,Capital City,Generation Z,0.70171195,0.5134265
17,Masculino,41,Metropolitana de Santiago,2,Capital City,Generation X,0.17646603,0.39804238
18,Masculino,32,Metropolitana de Santiago,2,Capital City,Millennial,0.5346749,0.50052345
19,Masculino,38,Metropolitana de Santiago,2,Capital City,Millennial,0.33830142,0.2847673
20,Femenino,49,Biobío,3,Region,Generation X,0.33761203,0.2772763
21,Femenino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.68422914,0.74107534
22,Masculino,41,Biobío,4,Region,Generation X,0.47921562,0.51102895
23,Masculino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.33254007,0.43465284
24,Masculino,28,Metropolitana de Santiago,3,Capital City,Millennial,0.40365034,0.2663906
25,Masculino,36,Metropolitana de Santiago,8,Capital City,Millennial,0.5649676,0.35514432
26,Masculino,29,Metropolitana de Santiago,7,Capital City,Millennial,0.721152,0.38416448
27,Masculino,32,Biobío,10,Region,Millennial,0.48534834,0.33979747
28,Masculino,28,Metropolitana de Santiago,6,Capital City,Millennial,0.44509545,0.38539207
29,Femenino,28,Biobío,4,Region,Millennial,0.27144617,0.6210902
30,Masculino,30,Los Lagos,6,Region,Millennial,0.43886796,0.3411106
